Nombre completo,¿Qué prefieres hacer en tus ratos libres?,¿Cómo te ves a ti mismo? Como alguien...,¿En 10 años te ves trabajando con...?,Quisiera que mi espacio laboral fuera...,"Si pudiera elegir, en mi trabajo tendría que...",Quisiera un trabajo:,En mi trabajo me gustaría que mi relación con los demás fuera...,Trabajaría en un lugar en el que las actividades cotidianas estuvieran relacionadas con...,Me gustaría un trabajo que se centrara en...,"Cuando trabaje, me gustaría destacarme por...",En mi trabajo me gustaría responder por:,¿Cuál sería el tema principal de tu trabajo?,¿En cuál de estos sectores te gustaría trabajar?,¿Cuáles son las materias que te gustan MÁS?,¿Cuáles son las materias que te gustan MENOS?,¿En qué sientes que te va mejor? En temas relacionados con...,¿En qué materias te va MEJOR?,¿En qué materias NO TE VA BIEN?
Rubén Tello Giralt,"Practicar deporte o construir cosas, Hacer actividades artisticas","Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Herramientas que me permitan construir y crear, Personas, enseñando o cuidando de ellas","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Crear por medio del diseño, dibujo o música","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Actuar por mi cuenta sin necesidad de que me supervisen",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, La naturaleza, el universo y su funcionamiento, El diseño, música, baile, teatro y cocina","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Ciencias sociales","Lengua castellana, Ciencias económicas y políticas, Educación física","Las palabras, escritas o habladas, esa es tu forma de expresarte","Matemáticas, Física, Lengua castellana","Ciencias sociales, Educación artística, Educación Física"
Candelario Badía,"Hacer actividades artisticas, Ordenar mi espacio y mis actividades","Imaginativo. Me expreso creativamente, Sociable. Disfruto compartir con otros","Creaciones propias relacionadas con el arte, Información y datos, para clasificar y analizar","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Dirigir y coordinar gente para desarrollar proyectos,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento","Cultural y artístico, Educación, Desarrollo humano y social","Educación artística, Lengua castellana, Matemáticas","Física, Educación física, Biología y química","La expresión corporal: actividades físicas como deportes, danza o actuación",Biología y química,"Matemáticas, Física, Ciencias económicas y políticas"
Alonso Mora Casanovas,Buscar y proponer nuevos planes,"Imaginativo. Me expreso creativamente, Organizado. Prefiero tener claro lo que voy a hacer","Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Usar diferentes herramientas y tecnología,"El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Entender las necesidades de los demás y ayudarlos a solucionarlas,"Mi trabajo, el de mi equipo y el impacto que genere","El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales, El ser humano y su relación con la sociedad","Cultural y artístico, Educación, Minero y energético","Educación artística, Lengua castellana, Ciencias sociales","Matemáticas, Física, Ciencias económicas y políticas","La creación y representación de objetos e imágenes, La naturaleza, con la comprensión y sensibilidad del entorno natural","Educación artística, Lengua castellana, Ciencias sociales","Matemáticas, Física, Biología y química"
Casemiro Mas Cózar,Ordenar mi espacio y mis actividades,"Hábil. Soy bueno para el trabajo manual, Líder. Me divierte tomar la iniciativa","Personas, enseñando o cuidando de ellas, Creaciones propias relacionadas con el arte","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Enseñar, aconsejar o cuidar de personas","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Trabajar en equipo, tener en cuenta las ideas de los otros","Mi trabajo, el de mi equipo y el impacto que genere","Los recursos naturales, el campo y los animales, El desarrollo y el funcionamiento de objetos","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, La creación y representación de objetos e imágenes","Matemáticas, Física, Lengua castellana","Ciencias económicas y políticas, Ciencias sociales, Educación Física"
Aristides Acevedo,Escuchar y conversas con mis amigos,"Curioso. Me gusta entender el porqué de las cosas, Sociable. Disfruto compartir con otros","Personas, enseñando o cuidando de ellas","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Sistematizar y procesar información o números, Crear por medio del diseño, dibujo o música","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Actuar por mi cuenta sin necesidad de que me supervisen",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, Los recursos naturales, el campo y los animales, La salud y el funcionamiento del cuerpo","Investigación en ciencias básicas y aplicadas, Salud, Financiero","Física, Biología y química, Matemáticas","Lengua castellana, Ciencias económicas y políticas, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Matemáticas, Ciencias sociales, Biología y química","Educación artística, Lengua castellana, Ciencias económicas y políticas"
Amarilis Castell Varela,"Escuchar y conversas con mis amigos, Ordenar mi espacio y mis actividades","Hábil. Soy bueno para el trabajo manual, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Creaciones propias relacionadas con el arte","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Dirigir y coordinar gente para desarrollar proyectos,"El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Trabajar en equipo, tener en cuenta las ideas de los otros","Mi trabajo, el de mi equipo y el impacto que genere","El desarrollo y el funcionamiento de objetos, El bienestar económico de las personas y paises, Los recursos naturales, el campo y los animales","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Educación física","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, Las personas, el relacionamiento y comunicación con otros","Matemáticas, Física, Ciencias sociales","Lengua castellana, Educación artística, Biología y química"
Virginia Cuevas Bilbao,"Escuchar y conversas con mis amigos, Leer o hacer experimentos",Curioso. Me gusta entender el porqué de las cosas,"Información y datos, para clasificar y analizar, Creaciones propias relacionadas con el arte","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Enseñar, aconsejar o cuidar de personas","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar",Actuar por mi cuenta sin necesidad de que me supervisen,Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, La salud y el funcionamiento del cuerpo, El ser humano y su relación con la sociedad","Educación, Desarrollo humano y social, Salud","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación física","Las personas, el relacionamiento y comunicación con otros, La creación y representación de objetos e imágenes",Ciencias sociales,"Física, Educación artística, Ciencias económicas y políticas"
Yaiza Castejón,"Leer o hacer experimentos, Hacer actividades artisticas",Organizado. Prefiero tener claro lo que voy a hacer,"Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Actuar por mi cuenta sin necesidad de que me supervisen",Mis resultados,"La naturaleza, el universo y su funcionamiento, La salud y el funcionamiento del cuerpo, El desarrollo y el funcionamiento de objetos","Investigación en ciencias básicas y aplicadas, Salud, Servicios a la comunidad, recreación y bienestar","Física, Biología y química, Matemáticas","Educación artística, Educación física, Ciencias sociales","Las matemáticas: el cálculo, los símbolos y la lógica, La expresión corporal: actividades físicas como deportes, danza o actuación","Educación artística, Ciencias económicas y políticas, Biología y química","Educación Física, Física, Ciencias sociales"
Dalila Losada Prats,"Escuchar y conversas con mis amigos, Hacer actividades artisticas","Sociable. Disfruto compartir con otros, Líder. Me divierte tomar la iniciativa","Personas, enseñando o cuidando de ellas, Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Enseñar, aconsejar o cuidar de personas, Crear por medio del diseño, dibujo o música","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Trabajar en equipo, tener en cuenta las ideas de los otros","Mi trabajo, el de mi equipo y el impacto que genere","El aprendizaje de niños, jóvenes y adultos, El bienestar económico de las personas y paises, El ser humano y su relación con la sociedad","Educación, Desarrollo humano y social, Hotelería, restaurantes y turismo","Ciencias sociales, Lengua castellana, Biología y química","Matemáticas, Física, Educación física","Las personas, el relacionamiento y comunicación con otros","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
Porfirio Jaén Saavedra,Buscar y proponer nuevos planes,"Sociable. Disfruto compartir con otros, Imaginativo. Me expreso creativamente","Personas, enseñando o cuidando de ellas, Información y datos, para clasificar y analizar","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento, Enseñar, aconsejar o cuidar de personas","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Actuar por mi cuenta sin necesidad de que me supervisen",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, El bienestar económico de las personas y paises, El ser humano y su relación con la sociedad","Educación, Desarrollo humano y social, Ambiental","Ciencias sociales, Lengua castellana, Matemáticas","Física, Educación física, Ciencias económicas y políticas","Las personas, el relacionamiento y comunicación con otros, Las matemáticas: el cálculo, los símbolos y la lógica","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
Manu de Nevado,"Escuchar y conversas con mis amigos, Buscar y proponer nuevos planes",Curioso. Me gusta entender el porqué de las cosas,"Personas, enseñando o cuidando de ellas, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música, Enseñar, aconsejar o cuidar de personas","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Entender las necesidades de los demás y ayudarlos a solucionarlas, Actuar por mi cuenta sin necesidad de que me supervisen",Mis resultados,"El aprendizaje de niños, jóvenes y adultos, Los recursos naturales, el campo y los animales, El desarrollo y el funcionamiento de objetos","Educación, Desarrollo humano y social, Agropecuario","Ciencias sociales, Lengua castellana, Matemáticas","Ciencias económicas y políticas, Física, Educación física",La creación y representación de objetos e imágenes,Ciencias sociales,"Matemáticas, Física, Educación artística"
Ibán Juliá,"Practicar deporte o construir cosas, Hacer actividades artisticas","Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Herramientas que me permitan construir y crear, Creaciones propias relacionadas con el arte","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Sistematizar y procesar información o números, Usar diferentes herramientas y tecnología","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Actuar por mi cuenta sin necesidad de que me supervisen",Mis resultados,"El desarrollo y el funcionamiento de objetos, La naturaleza, el universo y su funcionamiento, El aprendizaje de niños, jóvenes y adultos","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Educación artística, Ciencias sociales, Lengua castellana","Matemáticas, Ciencias económicas y políticas, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, La creación y representación de objetos e imágenes","Matemáticas, Física, Educación física","Ciencias sociales, Lengua castellana, Educación artística"
Graciano Gomez-Mesa,"Hacer actividades artisticas, Leer o hacer experimentos","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Personas, enseñando o cuidando de ellas","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Sistematizar y procesar información o números, Dirigir y coordinar gente para desarrollar proyectos","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Actuar por mi cuenta sin necesidad de que me supervisen",Mis resultados,"El diseño, música, baile, teatro y cocina, El ser humano y su relación con la sociedad, La salud y el funcionamiento del cuerpo","Cultural y artístico, Educación, Administración pública","Educación artística, Lengua castellana, Biología y química","Matemáticas, Física, Educación física",La creación y representación de objetos e imágenes,"Educación artística, Lengua castellana, Educación física","Matemáticas, Física, Biología y química"
Lorenza Porta Teruel,"Leer o hacer experimentos, Escuchar y conversas con mis amigos","Curioso. Me gusta entender el porqué de las cosas, Organizado. Prefiero tener claro lo que voy a hacer","Información y datos, para clasificar y analizar, Personas, enseñando o cuidando de ellas","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento, Usar diferentes herramientas y tecnología","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar",Entender las necesidades de los demás y ayudarlos a solucionarlas,Mis resultados,"La naturaleza, el universo y su funcionamiento, La salud y el funcionamiento del cuerpo, El ser humano y su relación con la sociedad","Investigación en ciencias básicas y aplicadas, Salud, Logística y transporte","Física, Biología y química, Matemáticas","Educación artística, Educación física, Lengua castellana","La naturaleza, con la comprensión y sensibilidad del entorno natural","Física, Biología y química, Matemáticas","Ciencias económicas y políticas, Lengua castellana, Educación artística"
Rebeca Jaume-Chico,"Hacer actividades artisticas, Buscar y proponer nuevos planes","Imaginativo. Me expreso creativamente, Sociable. Disfruto compartir con otros","Creaciones propias relacionadas con el arte, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Dirigir y coordinar gente para desarrollar proyectos,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El diseño, música, baile, teatro y cocina, El bienestar económico de las personas y paises, Los recursos naturales, el campo y los animales","Servicios a la comunidad, recreación y bienestar","Educación artística, Lengua castellana, Biología y química","Matemáticas, Educación física, Ciencias sociales","La creación y representación de objetos e imágenes, La expresión corporal: actividades físicas como deportes, danza o actuación","Educación artística, Lengua castellana, Matemáticas","Física, Biología y química, Educación Física"
Eusebia Leyre Anguita Galván,Escuchar y conversas con mis amigos,"Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música, Usar diferentes herramientas y tecnología","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas","Mi trabajo, el de mi equipo y el impacto que genere",El desarrollo y el funcionamiento de objetos,"Desarrollo humano y social, Industrial agropecuario","Educación artística, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Ciencias sociales","La creación y representación de objetos e imágenes, La expresión corporal: actividades físicas como deportes, danza o actuación","Educación artística, Lengua castellana, Educación física","Matemáticas, Biología y química, Ciencias económicas y políticas"
Valentina Arco Torres,"Escuchar y conversas con mis amigos, Practicar deporte o construir cosas","Sociable. Disfruto compartir con otros, Organizado. Prefiero tener claro lo que voy a hacer","Personas, enseñando o cuidando de ellas, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Trabajar en equipo, tener en cuenta las ideas de los otros, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, El ser humano y su relación con la sociedad, El diseño, música, baile, teatro y cocina","Educación, Desarrollo humano y social, Hotelería, restaurantes y turismo","Ciencias sociales, Lengua castellana, Educación artística","Matemáticas, Física, Ciencias económicas y políticas","Las personas, el relacionamiento y comunicación con otros, La expresión corporal: actividades físicas como deportes, danza o actuación","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación Física"
María Fernanda Barrios Boix,"Escuchar y conversas con mis amigos, Ordenar mi espacio y mis actividades","Sociable. Disfruto compartir con otros, Imaginativo. Me expreso creativamente","Personas, enseñando o cuidando de ellas, Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Sistematizar y procesar información o números, Enseñar, aconsejar o cuidar de personas","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"La salud y el funcionamiento del cuerpo, La naturaleza, el universo y su funcionamiento, El ser humano y su relación con la sociedad","Logística y transporte, Agropecuario","Ciencias sociales, Lengua castellana, Biología y química","Matemáticas, Física, Ciencias económicas y políticas","Las personas, el relacionamiento y comunicación con otros","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Educación Física, Matemáticas, Biología y química"
Marc Barragán Moreno,Leer o hacer experimentos,"Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Equipos de trabajo, guiándolos y dirigiéndolos, Creaciones propias relacionadas con el arte","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Sistematizar y procesar información o números, Usar diferentes herramientas y tecnología","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, El bienestar económico de las personas y paises, La naturaleza, el universo y su funcionamiento","Servicios a la comunidad, recreación y bienestar","Matemáticas, Física, Ciencias sociales","Lengua castellana, Biología y química, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, Las personas, el relacionamiento y comunicación con otros","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Educación Física"
Isabel del Huguet,"Practicar deporte o construir cosas, Buscar y proponer nuevos planes","Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Herramientas que me permitan construir y crear, Personas, enseñando o cuidando de ellas","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Sistematizar y procesar información o números,"El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Entender las necesidades de los demás y ayudarlos a solucionarlas",Mis resultados,"El desarrollo y el funcionamiento de objetos, El aprendizaje de niños, jóvenes y adultos, El ser humano y su relación con la sociedad",Construcción,"Física, Ciencias económicas y políticas, Educación artística","Ciencias sociales, Lengua castellana, Matemáticas","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte",Biología y química,"Ciencias sociales, Lengua castellana, Educación artística"
Borja Sanz Casado,Ordenar mi espacio y mis actividades,"Curioso. Me gusta entender el porqué de las cosas, Organizado. Prefiero tener claro lo que voy a hacer","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Enseñar, aconsejar o cuidar de personas","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, El desarrollo y el funcionamiento de objetos",Industrial agropecuario,"Física, Biología y química, Matemáticas","Educación artística, Educación física, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, Las personas, el relacionamiento y comunicación con otros","Física, Biología y química, Matemáticas","Educación Física, Educación artística, Ciencias sociales"
Rosaura Tello,"Escuchar y conversas con mis amigos, Practicar deporte o construir cosas","Sociable. Disfruto compartir con otros, Curioso. Me gusta entender el porqué de las cosas","Personas, enseñando o cuidando de ellas, Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Sistematizar y procesar información o números,"El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Actuar por mi cuenta sin necesidad de que me supervisen, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas","Mi trabajo, el de mi equipo y el impacto que genere","El aprendizaje de niños, jóvenes y adultos, La salud y el funcionamiento del cuerpo, El bienestar económico de las personas y paises","Educación, Desarrollo humano y social, Investigación en ciencias básicas y aplicadas","Lengua castellana, Física, Ciencias económicas y políticas","Matemáticas, Educación artística, Educación física","Las personas, el relacionamiento y comunicación con otros, Las matemáticas: el cálculo, los símbolos y la lógica","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
Goyo Coello Llorente,Escuchar y conversas con mis amigos,"Hábil. Soy bueno para el trabajo manual, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Personas, enseñando o cuidando de ellas","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Dirigir y coordinar gente para desarrollar proyectos","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Actuar por mi cuenta sin necesidad de que me supervisen,Mi trabajo y mi equipo,El desarrollo y el funcionamiento de objetos,"Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Educación física","La naturaleza, con la comprensión y sensibilidad del entorno natural, La expresión corporal: actividades físicas como deportes, danza o actuación","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas"
Jose Manuel Ovidio Soler Morata,"Practicar deporte o construir cosas, Buscar y proponer nuevos planes","Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Herramientas que me permitan construir y crear, Creaciones propias relacionadas con el arte","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Dirigir y coordinar gente para desarrollar proyectos, Crear por medio del diseño, dibujo o música","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"El ser humano y su relación con la sociedad, Los recursos naturales, el campo y los animales, El diseño, música, baile, teatro y cocina","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Educación artística","Ciencias económicas y políticas, Biología y química, Ciencias sociales","Las matemáticas: el cálculo, los símbolos y la lógica, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Matemáticas, Física, Lengua castellana","Ciencias sociales, Educación artística, Biología y química"
Victoriano Yáñez-Sabater,"Ordenar mi espacio y mis actividades, Hacer actividades artisticas","Hábil. Soy bueno para el trabajo manual, Líder. Me divierte tomar la iniciativa","Herramientas que me permitan construir y crear, Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Usar diferentes herramientas y tecnología, Experimentar, investigar y producir conocimiento","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento",Actuar por mi cuenta sin necesidad de que me supervisen,Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, La naturaleza, el universo y su funcionamiento, La salud y el funcionamiento del cuerpo","Agropecuario, Distribución y suministro de electricidad, agua y gas, Cultural y artístico","Matemáticas, Física, Ciencias sociales","Educación física, Lengua castellana, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Matemáticas, Física, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Educación artística"
Tomasa Gordillo-Tomás,"Leer o hacer experimentos, Practicar deporte o construir cosas","Curioso. Me gusta entender el porqué de las cosas, Sociable. Disfruto compartir con otros","Información y datos, para clasificar y analizar, Creaciones propias relacionadas con el arte","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Sistematizar y procesar información o números,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, El aprendizaje de niños, jóvenes y adultos, El ser humano y su relación con la sociedad","Educación, Industrial agropecuario, Distribución y suministro de electricidad, agua y gas","Física, Biología y química, Matemáticas","Lengua castellana, Educación física, Educación artística","Las matemáticas: el cálculo, los símbolos y la lógica, Las personas, el relacionamiento y comunicación con otros","Física, Biología y química, Matemáticas","Educación artística, Lengua castellana, Ciencias sociales"
